AccountTypeByStatus,account status,umbel#TopicsCategories,FacetInstanceCollection
Accountant,accountant,DeskWorker,Professional
AccountingClerk,accounting clerk,DeskWorker
AccountingDepartment,accounting department,FinanceDepartment
AccountingFirm,accounting firm,CommercialServiceOrganization,FinancialOrganization,PrivateSectorOrganization,ProfessionalServiceOrganization
AccountingProgram,accounting software,BusinessComputerProgram,FinancialProgram
AccountingReport,accounting report,FinancialDocument
AccountingUse,accounting use,Computer
AccountsPayableDepartment,accounts payable department,AccountingDepartment
AccountsPayableWorker,accounts payable clerk,DeskWorker
AccountsReceivableDepartment,accounts receivable department,AccountingDepartment
Accreditation,accreditation,Credential
AccreditationEvent,accreditation,ChangeOfStatusEvent
AccruingInterest,accruing interest,umbel#Activities
AccumulatingSteadily,building up,umbel#Activities,IntrinsicStateChangeEvent
Accumulation_Profits,accumulation,Profits
Accuracy,accuracy,DispositionalQuantity
Accusing,accusing,umbel#Activities,HostileSocialAction
Acebutolol,acebutolol,BetaBlocker
AcerComputer,Acer computer,PersonalComputer
Acetabulum,acetabulum,BoneSubPart
Acetaminophen,acetaminophen,Antipyretic,Solid_StateOfMatter
Acetate,acetate,umbel#Chemistry,OrganicCompound
AcetateIon,acetate ion,PolyatomicAnion
AceticAcid,acetic acid,umbel#NaturalSubstances,ChemicallyAcidicSubstance,Liquid_StateOfMatter,Transparent,WeakElectrolyte
AceticAnhydride,acetic anhydride,umbel#NaturalSubstances,PartiallyTangible
Acetone,acetone,umbel#NaturalSubstances,Ketone,ToxicSubstance
AcetylChloride,acetyl chloride,umbel#NaturalSubstances,Liquid_StateOfMatter
Acetylcholine,acetylcholine,Neuromodulator,Neurotransmitter
Acetylcholinesterase,acetylcholinesterase,umbel#NaturalSubstances,PartiallyTangible
Acetylene,ethenylene,umbel#NaturalSubstances,PartiallyTangible
AcetylsalicylicAcid,aspirin,Analgesic,ChemicallyAcidicSubstance
Ache_AilmentCondition,ache ailment condition,AilmentCondition
AchievingNirvana,nirvana,SacredPractice
AchillesTendon,achilles tendon,Tendon
Acholeplasma_Genus,Acholeplasma,Acholeplasmataceae_Family
Acholeplasmataceae_Family,Acholeplasmataceae,Acholeplasmatales_Order
Acholeplasmatales_Order,Acholeplasmatales,Mollicutes_Class
AchromaticColor,achromatic color,Color
AcidIndigestion,acid indigestion,AilmentCondition
AcidRainProcess,acid rain,RainProcess
AcidType,type of acid,AcidType_Arrhenius
AcidType_Arrhenius,Arrhenius acid,AcidType_Bronsted_Lowry
AcidType_Bronsted_Lowry,Broensted-Lowry acid,AcidType_Lewis
AcidType_Diprotic,diprotic acid,AcidType_Polyprotic
AcidType_Lewis,Lewis acid,umbel#Chemistry,ChemicalSubstanceType
AcidType_Monoprotic,monoprotic acid,umbel#TopicsCategories,Thing
AcidType_Negligible,negligible acid,umbel#Chemistry,ChemicalSubstanceType
AcidType_Oxyacid,acid type oxyacid,AcidType_Lewis
AcidType_Polyprotic,polyprotic acid,AcidType_Lewis
AcidType_Strong,strong acid,AcidType_Arrhenius
AcidType_Weak,weak acid,AcidType_Lewis
AcidicSolution_Liquid,liquid acidic solution,ChemicallyAcidicSubstance,LiquidSolution
Acmite,acmite,Aegirine
Acne,acne,BacterialInfection,SkinAilment
AcneMedication,acne medication,DrugSubstance
AcneProduct,acne treatment product,PersonalProduct
Acoelomate,acoelomate,Invertebrate
Acorn,acorn,Nut_TheFruit
AcousticNoiseLevel,acoustic noise,EnvironmentalQuantity,SensoryQuantity
AcousticWeapon,sonic bullet,MechanicalDevice,Weapon
Acoustic_guitarist,acoustic guitarist,MusicalInstrumentPlayer
Acoustics,acoustics,umbel#TopicsCategories
Acrobat,acrobat,Artist_Performer
Acrolein,acrolein,umbel#NaturalSubstances,ToxicSubstance
Acromion,acromion,BoneSubPart
Acronym,acronym,Abbreviation
Acrophobia,acrophobia,Phobia
Acropolis,Acropolis,umbel#Facilities
Acrostic_IBO,acrostic,Form_StandardizedIBO,SinglePurposeDevice
AcrylicCloth,acrylic cloth,SyntheticCloth
AcrylicFiber,acrylic fiber,umbel#Products,Fiber
AcrylicPaint,acrylic paint,ArtSupplies,Paint
AcrylicPainting,acrylic painting,Painting_ArtForm
AcrylicResin,acrylic fiber,Thermoplastic
Acrylonitrile,acrylonitrile,BiochemicallyHarmfulSubstance,Monomer
ActOfDissent,act of dissent,umbel#Activities,SocialOccurrence
ActTypeCommonlyConsideredCriminal,act commonly considered criminal,umbel#TopicsCategories
Act_Dramatic,act,DramaticPerformance
Acting,acting,Communicating,Pretending
ActingCompany,acting company,EntertainmentOrRecreationOrganization,EntertainmentPerformer
ActingInConcert,uniting,umbel#Activities
Actinium,actinium,RadioactiveStuff,UnalloyedMetal
Actinobacteria_Class,Actinobacteria Class,Firmicutes_Division,GramPositiveBacterium
Actinolite,actinolite,Mineral
Actinomyces_Genus,Actinomyces,Actinomycetaceae_Family
Actinomycetaceae_Family,Actinomycataceae Family,Actinomycetales_Order
Actinomycetales_Order,Actinomycetales Order,Actinobacteria_Class
