(ROOT (S=H (NP (NNP ) (NNPS ) (NNS=H )) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),3609,3609,"0,0033531637"
"(ROOT (S=H (PP (ADVP (RB=H )) (IN=H ) (NP (NNP ) (NNP=H ))) (, ) (NP (NNP=H )) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. )))",2523,6132,"0,0056973122"
(ROOT (S=H (NP (NP=H (CD=H )) (PP (IN=H ) (NP (JJ ) (NNS=H )))) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),2260,8392,"0,0077971043"
(ROOT (S=H (NP (JJ ) (NNS ) (NNS=H )) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),2171,10563,"0,0098142056"
(ROOT (S=H (NP (NP=H (CD=H )) (PP (IN=H ) (NP (NNS=H )))) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),2121,12684,"0,0117848512"
(ROOT (NP=H (NP=H (NNP=H )) (: ) (S (NP (NNP ) (NNS=H )) (VP=H (VBP=H ) (ADJP (JJ=H )))) (. ))),1771,14455,"0,0134303078"
(ROOT (S=H (NP (NNP ) (NNPS ) (NNP=H )) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),1234,15689,"0,0145768315"
(ROOT (S=H (NP (NP=H (NNP ) (NNP=H )) (PP (IN=H ) (NP (NNP ) (NNS=H )))) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),1171,16860,"0,0156648211"
(ROOT (S=H (NP (NNP ) (NNP ) (NNPS ) (NNS=H )) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),988,17848,"0,0165827834"
"(ROOT (S=H (S (NP (NNP=H )) (VP=H (VBD=H ) (NP (NNS=H )) (PP (IN=H ) (NP (NNP ) (NNP=H ))))) (, ) (NP (NNP=H )) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. )))",962,18810,"0,0174765887"
(ROOT (S=H (NP (NP=H (NNP=H )) (PP (IN=H ) (NP (DT ) (NNP ) (NNPS=H )))) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),904,19714,"0,0183165056"
(ROOT (S=H (NP (NP=H (NNP=H )) (PP (IN=H ) (NP (NNP ) (NNS=H )))) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),846,20560,"0,019102534"
(ROOT (S=H (NP (NP (NNP ) (NNP ) (NNP ) (NNS ) (POS=H )) (NN ) (NNS=H )) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),768,21328,"0,0198160917"
(ROOT (S=H (NP (NP (NNP ) (NNP=H )) (PRN (-LRB- ) (NP=H (NNP=H )) (-RRB- )) (NNS=H )) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),742,22070,"0,0205054924"
(ROOT (S=H (NP (JJ ) (JJ ) (NNS ) (NNS=H )) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),712,22782,"0,0211670199"
(ROOT (S=H (NP (NP=H (NNP=H )) (PP (IN=H ) (NP (DT ) (NNPS=H )))) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),706,23488,"0,0218229727"
(ROOT (S=H (NP (JJ ) (PRN (-LRB- ) (NP=H (NN=H )) (-RRB- )) (NNS=H )) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),672,24160,"0,0224473356"
(ROOT (S=H (NP (NP=H (CD=H )) (PP (IN=H ) (NP (DT ) (NNP ) (NNPS=H )))) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),655,24815,"0,0230559037"
(ROOT (S=H (NP (NNP ) (NNP ) (NNPS ) (NNP=H )) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),649,25464,"0,0236588971"
(ROOT (S=H (NP (NNP ) (NNP ) (NNPS ) (NN=H )) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),639,26103,"0,0242525994"
(ROOT (S=H (NP (NNP=H )) (VP=H (VBD=H ) (SBAR (S=H (NP (NP=H (NNS=H )) (PP (IN=H ) (NP (NNP=H )))) (VP=H (VBP=H ) (ADJP (JJ=H )))))) (. ))),610,26713,"0,0248193575"
(ROOT (S=H (NP (NP=H (NNP ) (NNP=H )) (NP (CD ) (NNS=H ))) (VP=H (VBP=H ) (ADJP (JJ=H ))) (. ))),598,27311,"0,0253749662"
