Lonely,
TransferAgent,
Respondent,
Traitor,
Caretaker,
DrugTrafficker,
Trustee,
SocialBeing,
SupernaturalBeing,
Teletubby-FictionalCharacter,
Loyalist,
"[:ProducerFn, :PetroleumProduct]",
"[:BelieverFn, :DemocraticRepublicanIdeology]",
Saint,
Superhero,
Vampire,
Caecilian,
Lissamphibia,
Adelospondyli,
Batrachomorpha,
Salamander,
Anura,
"[:SubcollectionOfWithRelationFromTypeFn, :Animal, :siblings, :Person]",
"[:CollectionDifferenceFn, :Animal, :HomoSapiens]",
NonHumanAnimal,
"[:SubcollectionOfWithRelationFromTypeFn, :Animal, :children, :Animal]",
MaleAnimal,
NocturnalAnimal,
SentientAnimal,
NonPersonAnimal,
AdultAnimal,
FemaleAnimal,
Herbivore,
Biped,
Eumetazoa,
CaptiveAnimal,
Virgin,
Radiata,
SkinnyPhysicalBuild,
FatPhysicalBuild,
AthleticPhysicalBuild,
UprightPosture,
SittingPosture,
Xiphosura,
Pancrustacea,
Panarthropoda,
Protura,
Diplura,
Instar,
Arachnomorpha,
Hexapoda,
Merostomata,
Entognatha,
Helmetia,
Arachnid,
Crustacean,
Insect,
Myriapod,
Artifact-NonAgentive,
EconomicSystem,
CholinesteraseInhibitingSubstance,
Holdings,
RefugeeCamp,
Artifact,
Technology-Artifact,
ComputerMarketCategory,
SatelliteFacility,
SexToy,
DoorwayCovering,
Dump,
ExplosiveMaterial,
HumanResidenceArea,
"[:EquipmentForEventTypeFn, :Fishing]",
CustomarySystemOfLinks-Comm,
CommunicationDevice,
Cliche,
Proverb,
Heritage,
Scenario-Generalized,
MilitaryIntelligence,
IndexedInformationSource,
GeneticInformation,
FieldOfStudy,
BeliefSystem,
AbstractStructure,
Algorithm,
DevisedPracticeOrWork,
LinguisticObject,
SystemOfMeasure,
SystemOfWrittenMaterials,
Parameter,
ComputerMemory-Abstract,
Dream,
Meme,
Microtheory,
Vocabulary,
Medley,
MusicalComposition,
RadioShow-CW,
MovieSoundtrack,
Album-CW,
"[:SubcollectionOfWithRelationFromTypeFn, :BiologicalLivingObject, :offspringActors, :BiologicalReproductionEvent]",
"[:StuffFn, [:FruitFn, :PeachTree]]",
"[:StuffFn, [:FruitFn, :GrapeVine]]",
"[:StuffFn, :Fruit]",
PhysiologicalFeatureOfSurface,
Male,
Embryo,
WholeBody,
Survivor,
Crop,
"[:StuffFn, [:FruitFn, :CoconutPalm]]",
"[:StuffFn, [:FruitFn, :LimeTree]]",
"[:MediumSizedFn, :Bird]",
FlavescentFlycatcher,
TalkingBird,
ModernBirds,
DivingBird,
Colymbiformes,
Ovenbird,
NewWorldOriole,
Seiurus,
Brown-headedCowbird,
"[:FemaleFn, :Bird]",
"[:LargeFn, :Bird]",
Pigeon,
Pheasant,
Vulture,
Toucan,
Puffin,
Dove,
Crane-Bird,
Mockingbird,
Raven,
Thrush-Bird,
Bluejay,
Grackle,
FlightlessBird,
Cuckoo,
Crow,
Flycatcher,
Sparrow,
Ibis,
Tern,
Warbler,
Coot,
ShoreBird,
Stilt-Bird,
BirdOfPrey,
Poultry,
Hummingbird,
MigratoryBird,
Stork,
Kingfisher,
Woodpecker,
CaliforniaClapperRail,
NihoaMillerbird,
PuertoRicanNightjar,
Parrot,
Finch,
NewellsTownsendsShearwater,
Titmouse,
TinianMonarch,
Waterfowl,
EskimoCurlew,
FloridaScrubJay,
SpectacledEider,
Palila,
MarbledMurrelet,
EyeBridledWhite,
Vireo,
GuamRail,
Plover,
Turkey-Bird,
YellowShoulderedBlackbird,
MicronesianMegapode,
MauiParrotbill,
KauaiOo,
SanClementeLoggerheadShrike,
Starling,
Swallow,
Wren,
TelecommunicationsCompany,
Business,
PubliclyHeldOrganization,
ManufacturingOrganization,
IndianCompany,
ChineseCompany,
JapaneseCompany,
CommercialOrganization-InAdministration,
DrugTraffickingOrganization,
CardiacValveProsthesisManufacturer,
AluminumCompany,
Incubator-Organization,
Franchise,
RockBand,
GoldColor,
MintColor,
AquamarineColor,
StrongReddishBrown-Color,
CeriseColor,
YellowColor,
SepiaColor,
StrawberryBlonde-HairColor,
PinkColor,
PeriwinkleColor,
MadderColor,
Olive-FleshColor,
BlueColor,
MustardColor,
PeachColor,
MaroonColor,
Black-HairColor,
PurpleColor,
SalmonColor,
OrangeColor,
NavyColor,
BuffColor,
LavenderColor,
RedColor,
ScarletColor,
RubyColor,
Red-HairColor,
IndigoColor,
CreamColor,
SilverColor,
FuchsiaColor,
TurquoiseColor,
OrchidColor,
SlateColor,
ChartreuseColor,
MummyColor,
ApricotColor,
BronzeColor,
PuttyColor,
CrimsonColor,
NickelColor,
Gray-HairColor,
OchreColor,
WhiteColor,
EmeraldColor,
GraphiteColor,
CitronColor,
CarmineColor,
RoseColor,
CeruleanColor,
BeigeColor,
CamelColor,
White-HairColor,
CopperColor,
GreenColor,
Auburn-HairColor,
GrayColor,
TopazColor,
SunTan-FleshColor,
PlumColor,
PlatinumColor,
BrownColor,
Pun,
Sequel-CW,
Remake,
"[:GenreFn, :""Movie-CW"", :""PropositionalConceptualWork-ShortGenre""]",
ComputerFile-CW,
Overview,
ConceptualWork-AnimationGenre,
Masterpiece-CW,
WorldWideWebSite,
ComputerModel,
PropositionalConceptualWork,
SoftwareObject,
HitConceptualWork,
Form-CW,
MagicSpell,
VisualWork,
PublishedConceptualWork,
Corpus,
CustomsCheckpoint,
LeisureFacility,
ApartmentComplex,
Mound-ConstructionArtifact,
NuclearReactor,
Partition-ConstructionArtifact,
DefensiveStructure,
StorageFacility,
TransportFacility,
Bar-Place,
Gateway,
DisplayStructure,
ElectricPowerGrid,
HumanOccupationConstruct,
Amenity,
RetailBusinessStand,
HandRail,
BridgeSpan,
StageForPerformances,
PowerGenerationComplex,
StepOfStairs,
DetentionFacility,
FixedStructure,
Wellbore,
TransformerSubstation,
Framework-SupportingStructure,
CommercialFacility,
