Artillery-SelfPropelled,3
Bulldozer,1
TrainEngine,1
Compass,1
CholinesteraseInhibitingSubstance,26
ProteinStuff,121
"[:SeedFn, :PeanutPlant]",1
AntiAircraftArtillery,1
Shield,3
EdibleStuffComposite,16
Spice,5
LaptopComputer,5
Feast,1
KavaPlant,1
GuidedMissileDestroyer,2
RefugeeCamp,1
Arrow,1
GemStone,20
PhonographRecord,3
MissileSystem,1
DigitalCamera,3
EdibleFruit,24
DirtyBomb,1
PeriodicalCopy,1
EdibleMushroom,7
ElectricalGenerator,2
Mausoleum,1
Chair-PieceOfFurniture,8
TennisTournament,5
SwimmingPool,3
Dragon,2
Fairy,3
Cartoon-Animated,2
FencingSabre,1
RailroadStation,1
Rhetoric,1
ClusterMunition,1
ClusterBomb,1
Arboretum,1
GrainOfCereal,5
SubmachineGun-Uzi,1
Brick,2
CoveredBridge,1
BlackHole,1
FoodVessel,38
Smartphone,8
PublicPark,1
Candy,19
IPod,2
WeaponSystem,3
NavalGun,1
GolfTournament,1
VideoCamera,2
BattleRifle,1
Bridge-Military,2
ZooGrounds,1
Armory,1
PostOfficeBuilding,1
SkiLift,3
HospitalBuilding,1
RadarStation-Facility,1
Bicycle,3
DepthBomb,1
EngineStarter,1
SparkPlug,1
RescueHelicopter,1
Glacier,2
Javelin,1
MedicalInjectionTool,1
ClothingOutfit,16
InformationBearingWavePropagation,33
PostageStamp,1
RocketEngine,1
CassetteDeck,1
DVDPlayer,1
Dike,1
RadioTransceiver,1
BuildingSecuritySystem,1
PropellerDrivenAirplane,2
BiologicalTissue,232
"[:CollectionUnionFn, [:TheSet, :Stadium, :Amphitheater]]",1
Galaxy,3
RecordingOfWaveIBT,5
Food-ReadyToEat,9
BluntWeapon,1
Medal-Physical,4
HotDog,1
TankCannon,1
NuclearGuidedMissileCruiser,1
MineCountermeasuresVessel,4
GuidedMissileCruiser,1
CDPlayer-AudioComponent,1
AmphibiousWarfareShip,11
Blood,5
Trident-HandWeapon,1
"[:FruitFn, :PecanTree]",1
Pylon,2
ArmoredFightingVehicle,6
SportsEquipment,16
InternalCombustionEngine,4
ProjectileShellAssembly,3
MovingImageWithSound,3
DeadSeaScroll,1
CottageCheese,1
MotorOil,1
ArtistsOilPaint,1
IncendiaryDevice,2
BellTower,2
PipeBomb,1
FingerFood,21
MortarLauncher,3
HillRange,1
GuidedMissileFrigate,1
Quarry,1
FactoryBuilding,3
Cross-TortureDevice,1
BaseballMitt,1
EdibleSeed,5
"[:GroupFn, :""Poem-CW""]",1
Mermaid,2
SubwayStation,1
AntiTankArtilleryGun,1
DryCreekBed,1
CreamCheese,1
ClockTower,1
ConstructionVehicle,2
GlazeForCeramics,1
CreditCard,8
PlayoffSeries,2
Snowmobile,1
Dock,4
HondaMotorcycle,3
Campground,1
InorganicMaterial,476
HondaCivicCar,1
Carpet,1
HondaAccordCar,1
BusStation,1
Coin-Currency,5
Elevator,2
ShoppingMallBuilding,3
"[:CollectionIntersectionFn, [:TheSet, :PublicPlace, :Building, :""Terminal-TransferPoint""]]",1
GrenadeLauncher,1
Elf,1
OnlineNewsSeries,1
Coal,5
Aquarium-Container,1
AntiTankWeapon-Rocket,1
Barn,1
Windmill,1
Oiler,2
HondaPreludeCar,1
TelephoneSystem,2
TurbineEngine,2
Well,2
StageForPerformances,1
Moai,1
RoadwayJunction,3
FictionalLanguage,1
CarbohydrateStuff,36
DiskArray-Computer,1
Dreadnought,1
MultipleRocketLauncher,2
Beer,11
AudioSystem,2
DairyProduct,5
WildWeasel,1
SandTrap,1
Check-TenderObject,1
Cutter-NavalWatercraft,3
FlourOrMeal,1
PistolMakarov,1
GatlingGun-GAU8,1
"[:JuiceFn, [:FruitFn, :AppleTree]]",1
Furnace,3
"[:FruitFn, :AlmondTree]",1
DictionaryProgram,1
GrenadeLauncher-Portable,2
Switchblade,1
DietarySupplement,3
VehicleBrakeSystem,3
