Mx4rvVj7rpwpEbGdrcN5Y29ycA,Writer,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvVikRZwpEbGdrcN5Y29ycA,Biologist,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvViN4ZwpEbGdrcN5Y29ycA,Physicist,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvViaI5wpEbGdrcN5Y29ycA,Researcher,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvVj755wpEbGdrcN5Y29ycA,Scientist,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvVkB15wpEbGdrcN5Y29ycA,Mathematician,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx8Ngh4r70KcoDa_EdqAAAACs6hRXh4rvVjuapwpEbGdrcN5Y29ycA,"[:ExceptionalPerformerTypeOfCharacteristicActivityFn, :Philosopher]",,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvVjma5wpEbGdrcN5Y29ycA,FamousHuman,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rwKQB3pwpEbGdrcN5Y29ycA,HistoricFigure,,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Mx4rvVjWoZwpEbGdrcN5Y29ycA,MaleHuman,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvVjHE5wpEbGdrcN5Y29ycA,ClassicalAgeGreekPerson,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvViNGpwpEbGdrcN5Y29ycA,Student,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx8NhB4rcacO5KgcQdidVfCUDYB6bg-Hc3R1ZGVudB4rvVii2ZwpEbGdrcN5Y29ycA-kOWM5ZDhmNmUtYjg3OC0xMWRiLTgwMDAtMDAwMmIzYTMzMTQx,"[:""InstanceNamedFn-Ternary"", ""student"", :PersonTypeByOccupation, ""9c9d8f6e-b878-11db-8000-0002b3a33141""]",,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvVkFrJwpEbGdrcN5Y29ycA,Teacher,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rUYgZftQhQdiCOc4Dj-8xKB4rvViAkpwpEbGdrcN5Y29ycA,"[:SubcollectionOfWithRelationFromTypeFn, :Person, :teacherOf, :Person]",,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rv-Pbe5wpEbGdrcN5Y29ycA,Logician,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvVj4n5wpEbGdrcN5Y29ycA,GreekPerson,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvViEc5wpEbGdrcN5Y29ycA,EthnicGroupOfGreeks,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4roguCorrMEdaAAAACs6Mw3A,DefenseAttorney,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvuvppZwpEbGdrcN5Y29ycA,Meteorologist,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvkBZgZwpEbGdrcN5Y29ycA,PoliticalPhilosopher,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rugZ-TitAQdiMZ-wb7y15rA,Ethicist,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork,,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Mx4rwUwN3ZwpEbGdrcN5Y29ycA,MusicalComposition,,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Mx4rv9p3wpwpEbGdrcN5Y29ycA,DevisedPracticeOrWork,,Mx4rv9p3wpwpEbGdrcN5Y29ycA,DevisedPracticeOrWork
Mx4rwQq3eJwpEbGdrcN5Y29ycA,AcademicComposition,,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Mx4rvViaGJwpEbGdrcN5Y29ycA,WritingAComposition,,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
Mx4rvvm9OJwpEbGdrcN5Y29ycA,Poem-CW,,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW,,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Mx4rvVjmq5wpEbGdrcN5Y29ycA,Book-CW,,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Mx4rwU0CYJwpEbGdrcN5Y29ycA,ScienceFictionWriter,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx8Ngh4rvVipPJwpEbGdrcN5Y29ycB4rwRwbWpwpEbGdrcN5Y29ycA,"[:FrequentPerformerFn, :Activism]",,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rwQB4UJwpEbGdrcN5Y29ycA,JewishPerson,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rv1OBhpwpEbGdrcN5Y29ycA,FantasyWriter,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvViowZwpEbGdrcN5Y29ycA,Author,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvVi18JwpEbGdrcN5Y29ycA,Novelist,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvViwKZwpEbGdrcN5Y29ycA,Playwright,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rnkRB3KgPQdeHH4EES_o7Mw,Screenwriter,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvbK69JwpEbGdrcN5Y29ycA,Atheist,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rX6HCOqOEQdiA6cuInoHlow,Libertarian,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvckkjJwpEbGdrcN5Y29ycA,Liberal-SocialDemocrat,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rSyH0jhJbEd2AAADggVfs8g,Person-3050,
Mx4r1_WUCnWaQdeEdp-4peq4Og,Graduate,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvViqmJwpEbGdrcN5Y29ycA,FinancialAnalyst,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvV79tpwpEbGdrcN5Y29ycA,DirectorOfOrganization,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvssetJwpEbGdrcN5Y29ycA,Producer-Movie,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycB4rvViZVJwpEbGdrcN5Y29ycB4rvVjVT5wpEbGdrcN5Y29ycA,"[:SubcollectionOfWithRelationFromTypeFn, :Person, :boardMembers, :Organization]",,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvVjqs5wpEbGdrcN5Y29ycA,Director-Movie,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity,,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mx4rvViIeZwpEbGdrcN5Y29ycA,Country,,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mx4r46fYpnaNEduAAAACs6hbjw,Analyst-PertinentConcept,,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Mx4rwNJMLpwpEbGdrcN5Y29ycA,IndustrializedCountry,,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mx4rvo_7PJwpEbGdrcN5Y29ycA,MaghrebCountry,,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mx4rvu5MmpwpEbGdrcN5Y29ycA,CountryMusic,,Mx4rvVjOJpwpEbGdrcN5Y29ycA,Music
Mx4rvViEg5wpEbGdrcN5Y29ycA,RuralArea,,Mx4rvViACZwpEbGdrcN5Y29ycA,GeographicalRegion
Mx4rh6voMnS_EdaAAACgyZzFrg,MusicalComposition-Country,,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Mx4rRh4l5m29EdaAAACgyZzFrg,Republic,,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mx4rvVjk55wpEbGdrcN5Y29ycA,IndependentCountry,,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mx4rvVjnqJwpEbGdrcN5Y29ycA,State-Geopolitical,,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Mx4rvVi--5wpEbGdrcN5Y29ycA,Athlete,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rwIi9L5wpEbGdrcN5Y29ycA,Democrat,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu9WKPtnCkRsZ2tw3ljb3JwHiu9WOpenCkRsZ2tw3ljb3Jw,"[:CollectionUnionFn, [:TheSet, :MusicPerformanceOrganization, :MusicalPerformer]]",,Mx4rvVinb5wpEbGdrcN5Y29ycA,IntelligentAgent
Mx4rvVj5IZwpEbGdrcN5Y29ycA,TennisPlayer,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvXHGcZwpEbGdrcN5Y29ycA,ProfessionalTennisPlayer,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4r-C4VgA7jQdeWDMhv699I8Q,Philanthropist,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvVj0iZwpEbGdrcN5Y29ycA,Language,,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Mx4rvVkHt5wpEbGdrcN5Y29ycA,AustroasiaticLanguageFamily,,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Mx4rvVifuZwpEbGdrcN5Y29ycA,AfroasiaticLanguageFamily,,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
Mx4rvViJb5wpEbGdrcN5Y29ycA,Novel-CW,,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Mx4r5lNPkMLgQdeAzr878CoUZw,NonHumanAnimal,,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
Mx4r7F3bSCxAQdiBK-92W90cKA,Novella,,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Mx4rwG_1cJwpEbGdrcN5Y29ycA,ReligiousAgnostic,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvVi7HpwpEbGdrcN5Y29ycA,EnglishPerson,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rkpnEysksEdmAAAACs6hRjg,Advocate,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rvftqlZwpEbGdrcN5Y29ycA,Poet,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rv4jyVpwpEbGdrcN5Y29ycA,Vegetarian,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx4rcSllnCxOQdiI0P90K7qpmQ,Expatriate,,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mx8Ngh4rwBtg95wpEbGdrcN5Y29ycB4rwQr8hZwpEbGdrcN5Y29ycA,"[:BelieverFn, :Pacifism]",,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
