273,,Enzyme,Enzyme
274,,Gene,Gene_HereditaryUnit 
277,,Protein,ProteinMolecule
278,,Blazon,HeraldicDevice
280,,CelestialBody,CelestialBody
281,,Asteroid,Asteroid
282,,Constellation,Constellation
283,,Galaxy,Galaxy
284,,Planet,Planet
285,,Star,Star
287,,ChartsPlacements,Chart
288,,ChemicalSubstance,ChemicalSubstanceType
289,,ChemicalCompound,ChemicalSubstanceType
290,,ChemicalElement,ElementStuff
291,,Mineral,Mineral
292,,Colour,Color
293,,Currency,Currency
294,,Database,Database_AbstractContent
295,,BiologicalDatabase,MedicalDatabase
296,,Demographics,DemographicInformation
298,,Device,PhysicalDevice
299,,AutomobileEngine,AutoEngine
301,,Camera,Camera
302,,DigitalCamera,DigitalCamera
303,,InformationAppliance,InformationManagementUse
304,,Instrument,MusicalInstrument
305,,Guitar,Guitar
306,,Organ,Organ_MusicalInstrument
307,,Weapon,Weapon
308,,Diploma,Diploma
309,,Disease,AilmentCondition
310,,Drug,DrugProduct
312,,Event,Event
315,,Birth,BirthEvent
316,,Death,Dying
317,,Divorce,Divorce
318,,Marriage,Marriage_Agreement
319,,NaturalEvent,PhysicalEvent
320,,SolarEclipse,SolarEclipse
321,,SocietalEvent,SocialOccurrence
322,,Convention,Convention_Meeting
323,,Election,Election
324,,ElectionDiagram,Infographic
326,,Meeting,Meeting_SocialGathering
327,,MilitaryConflict,ConflictEvent
329,,SpaceMission,SpaceMission
330,,SportsEvent,SportsEvent
331,,CyclingCompetition,CyclingSportsEvent
333,,GrandPrix,RacingSportsEvent
334,,MixedMartialArtsEvent,MartialArtsSportsEvent
336,,Olympics,OlympicGames
337,,OlympicEvent,OlympicCompetition
338,,Race,RacingSportsEvent
339,,CyclingRace,CyclingSportsEvent
340,,HorseRace,HorseRacingEvent
341,,Tournament,Tournament
342,,GolfTournament,GolfTournament
343,,SoccerTournament,SoccerTournament
344,,TennisTournament,TennisTournament
346,,WrestlingEvent,WrestlingSportsEvent
347,,Flag,Flag
348,,Food,Food
349,,Beverage,Drink
350,,Beer,Beer
351,,Wine,Wine
353,,Cheese,Cheese
359,,Holiday,Holiday
362,,Language,Language
363,,Letter,Letter_Alphabetic
364,,List,List_Information
365,,TrackList,ToDoList_CW
367,,MeanOfTransportation,TransportationDevice_Vehicle
368,,Aircraft,AirTransportationVehicle
369,,Automobile,Automobile
370,,Locomotive,TrainEngine
371,,Motorcycle,Motorcycle
372,,Rocket,RocketPropelledTransportationDevice
373,,Ship,Ship
374,,SpaceShuttle,SpaceShuttle
375,,SpaceStation,SpaceStation
376,,Spacecraft,Spacecraft
377,,Train,Train_TransportationDevice
378,,Media,MediaProduct
379,,Name,Name
380,,GivenName,HumanGivenName
381,,Surname,HumanSurname
383,,PersonFunction,HumanActivity
384,,PoliticalFunction,PoliticalAction
385,,Profession,Professional
386,,Place,Place
387,,ArchitecturalStructure,ConstructionArtifact
388,,Building,Building
389,,AmusementParkAttraction,AmusementParkRide
390,,RollerCoaster,RollerCoaster
392,,Arena,Stadium
393,,Casino,Casino_Object
394,,Castle,Castle
395,,Factory,FactoryBuilding
396,,Gate,Gate
397,,HistoricBuilding,Historic_building
398,,Hospital,HospitalBuilding
399,,Hotel,HotelBuilding
400,,MilitaryStructure,MilitaryFacility
401,,Mill,Mill_ManufacturingFacility
402,,Treadmill,Treadmill
403,,Watermill,WaterPoweredMill
404,,WindMotor,WindPoweredTurbine
405,,Windmill,Windmill
406,,Museum,MuseumStructure
407,,Prison,Prison
408,,ReligiousBuilding,ReligiousBuilding
409,,Abbey,Abbey
410,,Church,Church_Building
411,,Monastery,Monastery_Residence
412,,Mosque,Mosque_Building
413,,Shrine,Shrine_Religious
414,,Synagogue,Synagogue_Building
415,,Temple,Temple
416,,Restaurant,RestaurantSpace
417,,ShoppingMall,ShoppingMallBuilding
418,,Skyscraper,Skyscraper
419,,Tower,Tower
420,,Lighthouse,Lighthouse
421,,WaterTower,WaterTower
422,,Venue,PublicPlace
423,,Theatre,Theater_PhysicalStructure
424,,Dam,Dam
425,,Garden,Garden
426,,Infrastructure,InfrastructureProduct
427,,Airport,Airport_Physical
428,,LaunchPad,TransportFacility
429,,Lock,Lock
430,,PowerStation,PowerGenerationComplex
431,,NuclearPowerStation,PowerGenerationComplex_Nuclear
432,,RouteOfTransportation,TravelRoute
433,,Bridge,Bridge
434,,PublicTransitSystem,MassTransitSystem
435,,RailwayLine,Railway
436,,Road,Roadway
437,,RoadJunction,RoadwayJunction
438,,Tunnel,Tunnel
442,,Station,Terminal_TransferPoint
443,,MetroStation,SubwayStation
444,,RailwayStation,RailwayStation
445,,NoteworthyPartOfBuilding,PartOfBuilding
446,,Park,Park
447,,Cemetery,Graveyard
448,,Community,Community
449,,CountrySeat,CountySeat
450,,HistoricPlace,HistoricalSite
451,,HotSpring,HotSpring
452,,Monument,Monument
453,,GraveMonument,GraveMarker
454,,Memorial,MemorialMarker
455,,NaturalPlace,NaturalThing
456,,Archipelago,Archipelago
457,,BodyOfWater,BodyOfWater
458,,Lake,Lake
459,,Sea,Sea
460,,Stream,Stream
461,,Canal,Canal
462,,River,River
463,,Cave,Cave
464,,Crater,Crater
465,,LunarCrater,Crater
466,,Glacier,Glacier
467,,Mountain,Mountain
468,,MountainPass,Pass_Geographical
469,,MountainRange,MountainRange
470,,Valley,Valley
471,,Volcano,Volcano
472,,PopulatedPlace,PopulatedPlace
473,X,Agglomeration,HumanResidenceArea
474,,Continent,Continent
475,,Country,Country
476,,Department,Department
477,,OverseasDepartment,ForeignOffice
478,,Intercommunality,ExurbanNeighborhood
479,,Island,Island
480,,Atoll,Atoll
481,,Locality,PopulatedLocally
482,,Prefecture,Prefecture
483,,Region,GeopoliticalEntity
484,,AdministrativeRegion,AdministrativeDistrict
487,,Diocese,Diocese
488,,Parish,Parish
489,,GovernmentalAdministrativeRegion,AdministrativeDistrict
493,,Municipality,Municipality
494,,FormerMunicipality,Municipality
495,,Province,State_Geopolitical
496,,Regency,Regent
497,,SubMunicipality,PopulatedPlacePart
498,,NaturalRegion,OutdoorLocation
499,,Settlement,Village
500,,City,City
502,,FrenchLocality,PopulatedLocality
503,,IranSettlement,Village
504,,Town,Town
505,,Village,Village
506,,Territory,Territory
508,,State,State_Geopolitical
