seq,changed?,dbpedia,umbel,status,source,comments,BLANK,hier1,hier2,hier3,hier4,hier5,hier6,hier7,,status,,source
289,,ChemicalCompound,ChemicalSubstanceType,OK,web+onto+v105,,,,ChemicalCompound,,,,,,,,,
290,,ChemicalElement,ElementStuff,OK,web+onto,,,,ChemicalElement,,,,,,,,,
291,,Mineral,Mineral,OK,web+onto,,,,Mineral,,,,,,,,,
292,,Colour,Color,OK,web+onto+v105,,,Colour,,,,,,,,,,
293,,Currency,Currency,OK,web+onto+v105,,,Currency,,,,,,,,,,
294,,Database,Database_AbstractContent,OK,web+onto,,,Database,,,,,,,,,,
295,,BiologicalDatabase,MedicalDatabase,OK,web+onto,,,,BiologicalDatabase,,,,,,,,,
296,,Demographics,DemographicInformation,OK,web,,,Demographics,,,,,,,,,,
297,X,Depth,Depth,NEED,web,,,Depth,,,,,,,,,,
298,,Device,PhysicalDevice,OK,web+onto+v105,,,Device,,,,,,,,,,
299,,AutomobileEngine,AutoEngine,OK,web+onto+v105,,,,AutomobileEngine,,,,,,,,,
300,,AutomobilePlatform,Model_car,DROP,v105,,,,AutomobilePlatform,,,,,,,,,
301,,Camera,Camera,OK,web+onto,,,,Camera,,,,,,,,,
302,,DigitalCamera,DigitalCamera,OK,web+onto,,,,,DigitalCamera,,,,,,,,
303,,InformationAppliance,InformationManagementUse,OK,web+onto,,,,InformationAppliance,,,,,,,,,
304,,Instrument,MusicalInstrument,OK,web+onto,,,,Instrument,,,,,,,,,
305,,Guitar,Guitar,OK,web+onto,,,,,Guitar,,,,,,,,
306,,Organ,Organ_MusicalInstrument,OK,web,,,,,Organ,,,,,,,,
307,,Weapon,Weapon,OK,web+onto+v105,,,,Weapon,,,,,,,,,
308,,Diploma,Diploma,OK,web,,,Diploma,,,,,,,,,,
309,,Disease,AilmentCondition,OK,web+onto+v105,,,Disease,,,,,,,,,,
310,,Drug,DrugProduct,OK,web+onto+v105,,,Drug,,,,,,,,,,
311,,EthnicGroup,PersonTypeByEthnicity,"OPENCYC,UPDATED",web+onto+v105,,,EthnicGroup,,,,,,,,,,
312,,Event,Event,OK,web+onto+v105,,,Event,,,,,,,,,,
313,,LifeCycleEvent,TheHumanLifeCycle,OPENCYC,web,needs to be more broadly (incl social) understood,,,LifeCycleEvent,,,,,,,,,
314,,PersonalEvent,???,???,web,seems to be a legitimate Cyc need,,,,PersonalEvent,,,,,,,,
315,,Birth,BirthEvent,OK,web,,,,,,Birth,,,,,,,
316,,Death,Dying,OK,web,,,,,,Death,,,,,,,
317,,Divorce,Divorce,OK,web,,,,,,Divorce,,,,,,,
318,,Marriage,Marriage_Agreement,OK,web,,,,,,Marriage,,,,,,,
319,,NaturalEvent,PhysicalEvent,OK,web,,,,NaturalEvent,,,,,,,,,
320,,SolarEclipse,SolarEclipse,OK,web,,,,,SolarEclipse,,,,,,,,
321,,SocietalEvent,SocialOccurrence,OK,web,,,,SocietalEvent,,,,,,,,,
322,,Convention,Convention_Meeting,UPDATED,web+onto+v105,,,,,Convention,,,,,,,,
323,,Election,Election,OK,web+onto,,,,,Election,,,,,,,,
324,,ElectionDiagram,Infographic,OK,web,,,,,,ElectionDiagram,,,,,,,
325,,FilmFestival,FilmFestival,OPENCYC,web+onto+v105,,,,,FilmFestival,,,,,,,,
326,,Meeting,Meeting_SocialGathering,OK,web,,,,,Meeting,,,,,,,,
327,,MilitaryConflict,ConflictEvent,OK,web+onto+v105,,,,,MilitaryConflict,,,,,,,,
328,,MusicFestival,MusicFestival,OPENCYC,web+onto+v105,,,,,MusicFestival,,,,,,,,
329,,SpaceMission,SpaceMission,OK,web+onto+v105,,,,,SpaceMission,,,,,,,,
330,,SportsEvent,SportsEvent,OK,web+onto+v105,,,,,SportsEvent,,,,,,,,
331,,CyclingCompetition,CyclingSportsEvent,OK,web+onto,,,,,,CyclingCompetition,,,,,,,
332,,FootballMatch,SportsEvent,NEED,web+onto,,,,,,FootballMatch,,,,,,,
333,,GrandPrix,RacingSportsEvent,OK,web+onto+v105,,,,,,GrandPrix,,,,,,,
334,,MixedMartialArtsEvent,MartialArtsSportsEvent,UPDATED,web+onto+v105,,,,,,MixedMartialArtsEvent,,,,,,,
335,,NationalFootballLeagueEvent,ProfessionalSportsEvent,NEED,web,,,,,,NationalFootballLeagueEvent,,,,,,,
336,,Olympics,OlympicGames,OK,web+onto+v105,,,,,,Olympics,,,,,,,
337,,OlympicEvent,OlympicCompetition,OK,web+onto,,,,,,,OlympicEvent,,,,,,
338,,Race,RacingSportsEvent,OK,web+onto+v105,,,,,,Race,,,,,,,
339,,CyclingRace,CyclingSportsEvent,OK,web,,,,,,,CyclingRace,,,,,,
340,,HorseRace,HorseRacingEvent,OK,web,,,,,,,HorseRace,,,,,,
341,,Tournament,Tournament,OK,web,,,,,,Tournament,,,,,,,
342,,GolfTournament,GolfTournament,OK,web,,,,,,,GolfTournament,,,,,,
343,,SoccerTournament,SoccerTournament,OK,web+onto,,,,,,,SoccerTournament,,,,,,
344,,TennisTournament,TennisTournament,OK,web+onto,,,,,,,TennisTournament,,,,,,
345,,WomensTennisAssociationTournament,WomensTennisAssociationTournament,OPENCYC,web+onto+v105,,,,,,,WomensTennisAssociationTournament,,,,,,
346,,WrestlingEvent,WrestlingSportsEvent,OK,web+onto+v105,,,,,,WrestlingEvent,,,,,,,
347,,Flag,Flag,OK,web+onto,,,Flag,,,,,,,,,,
348,,Food,Food,OK,web+onto,,,Food,,,,,,,,,,
349,,Beverage,Drink,OK,web+onto+v105,,,,Beverage,,,,,,,,,
350,,Beer,Beer,OK,web+onto,,,,,Beer,,,,,,,,
351,,Wine,Wine,OK,web+onto,,,,,Wine,,,,,,,,
352,,ControlledDesignationOfOriginWine,WineTypeByRegion,OPENCYC,web+onto,not exact match,,,,,ControlledDesignationOfOriginWine,,,,,,,
353,,Cheese,Cheese,OK,web+onto,,,,Cheese,,,,,,,,,
354,,GeneLocation,Genome-GIS,NEED,web+onto,,,GeneLocation,,,,,,,,,,
355,,HumanGeneLocation,Genome-GIS,NEED,web+onto,,,,HumanGeneLocation,,,,,,,,,
356,,MouseGeneLocation,Genome-GIS,NEED,web+onto,,,,MouseGeneLocation,,,,,,,,,
357,X,GrossDomesticProduct,ComplexQuantityPredicate,OPENCYC,web,,,GrossDomesticProduct,,,,,,,,,,
358,X,GrossDomesticProductPerCapita,ComplexQuantityPredicate,NEED,web,,,GrossDomesticProductPerCapita,,,,,,,,,,
359,,Holiday,Holiday,OK,web+onto,,,Holiday,,,,,,,,,,
360,,HumanDevelopmentIndex,SocialQuantity,NEED,web,,,HumanDevelopmentIndex,,,,,,,,,,
361,,Imdb,InternetMovieDatabase,OPENCYC,web+onto,,,Imdb,,,,,,,,,,
362,,Language,Language,OK,web+onto+v105,,,Language,,,,,,,,,,
363,,Letter,Letter_Alphabetic,OK,web+onto,,,Letter,,,,,,,,,,
364,,List,List_Information,OK,web+onto,,,List,,,,,,,,,,
365,,TrackList,ToDoList_CW,OK,web+onto,,,,TrackList,,,,,,,,,
366,,Listen,???,???,web+onto,should possibly not model,,Listen,,,,,,,,,,
367,,MeanOfTransportation,TransportationDevice_Vehicle,OK,web+onto+v105,,,MeanOfTransportation,,,,,,,,,,
368,,Aircraft,AirTransportationVehicle,UPDATED,web+onto+v105,,,,Aircraft,,,,,,,,,
369,,Automobile,Automobile,UPDATED,web+onto+v105,,,,Automobile,,,,,,,,,
370,,Locomotive,TrainEngine,OK,web+onto,,,,Locomotive,,,,,,,,,
371,,Motorcycle,Motorcycle,OK,web,,,,Motorcycle,,,,,,,,,
372,,Rocket,RocketPropelledTransportationDevice,UPDATED,web+onto+v105,,,,Rocket,,,,,,,,,
373,,Ship,Ship,OK,web+onto+v105,,,,Ship,,,,,,,,,
374,,SpaceShuttle,SpaceShuttle,OK,web+onto+v105,,,,SpaceShuttle,,,,,,,,,
375,,SpaceStation,SpaceStation,OK,web+onto+v105,,,,SpaceStation,,,,,,,,,
376,,Spacecraft,Spacecraft,OK,web+onto+v105,,,,Spacecraft,,,,,,,,,
377,,Train,Train_TransportationDevice,OK,web+onto,,,,Train,,,,,,,,,
378,,Media,MediaProduct,OK,web,,,Media,,,,,,,,,,
379,,Name,Name,OK,web+onto,,,Name,,,,,,,,,,
380,,GivenName,HumanGivenName,OK,web+onto,,,,GivenName,,,,,,,,,
381,,Surname,HumanSurname,OK,web+onto,,,,Surname,,,,,,,,,
382,,PenaltyShootOut,StructuredSportsEvent,NEED,web+onto,,,PenaltyShootOut,,,,,,,,,,
383,,PersonFunction,HumanActivity,OK,web+onto,not quite sure what this means,,PersonFunction,,,,,,,,,,
384,,PoliticalFunction,PoliticalAction,OK,web,not quite sure what this means,,,PoliticalFunction,,,,,,,,,
385,,Profession,Professional,OK,web,,,,Profession,,,,,,,,,
386,,Place,Place,UPDATED,web+onto+v105,,,Place,,,,,,,,,,
387,,ArchitecturalStructure,ConstructionArtifact,OK,web+onto,,,,ArchitecturalStructure,,,,,,,,,
388,,Building,Building,OK,web+onto+v105,,,,,Building,,,,,,,,
389,,AmusementParkAttraction,AmusementParkRide,OK,web,,,,,,AmusementParkAttraction,,,,,,,
390,,RollerCoaster,RollerCoaster,OK,web,,,,,,,RollerCoaster,,,,,,
391,,WaterRide,AmusementParkRide,NEED,web,,,,,,,WaterRide,,,,,,
392,,Arena,Stadium,OK,web+onto,,,,,,Arena,,,,,,,
393,,Casino,Casino_Object,OK,web+onto,,,,,,Casino,,,,,,,
394,,Castle,Castle,OK,web+onto,,,,,,Castle,,,,,,,
395,,Factory,FactoryBuilding,OK,web+onto,,,,,,Factory,,,,,,,
396,,Gate,Gate,OK,web,,,,,,Gate,,,,,,,
397,,HistoricBuilding,Historic_building,OK,web+onto+v105,,,,,,HistoricBuilding,,,,,,,
398,,Hospital,HospitalBuilding,OK,web+onto+v105,,,,,,Hospital,,,,,,,
399,,Hotel,HotelBuilding,OK,web+onto,,,,,,Hotel,,,,,,,
400,,MilitaryStructure,MilitaryFacility,OK,web+onto,,,,,,MilitaryStructure,,,,,,,
401,,Mill,Mill_ManufacturingFacility,OK,web+onto,,,,,,Mill,,,,,,,
402,,Treadmill,Treadmill,OK,web+onto,,,,,,,Treadmill,,,,,,
403,,Watermill,WaterPoweredMill,OK,web+onto,,,,,,,Watermill,,,,,,
404,,WindMotor,WindPoweredTurbine,OK,web+onto,,,,,,,WindMotor,,,,,,
405,,Windmill,Windmill,OK,web+onto,,,,,,,Windmill,,,,,,
406,,Museum,MuseumStructure,OK,web+onto,,,,,,Museum,,,,,,,
407,,Prison,Prison,OK,web+onto,,,,,,Prison,,,,,,,
408,,ReligiousBuilding,ReligiousBuilding,OK,web+onto,,,,,,ReligiousBuilding,,,,,,,
409,,Abbey,Abbey,OK,web+onto,,,,,,,Abbey,,,,,,
410,,Church,Church_Building,OK,web+onto,,,,,,,Church,,,,,,
411,,Monastery,Monastery_Residence,OK,web+onto,,,,,,,Monastery,,,,,,
412,,Mosque,Mosque_Building,OK,web+onto,,,,,,,Mosque,,,,,,
413,,Shrine,Shrine_Religious,OK,web+onto,,,,,,,Shrine,,,,,,
414,,Synagogue,Synagogue_Building,OK,web+onto,,,,,,,Synagogue,,,,,,
415,,Temple,Temple,OK,web+onto,,,,,,,Temple,,,,,,
416,,Restaurant,RestaurantSpace,OK,web+onto,,,,,,Restaurant,,,,,,,
417,,ShoppingMall,ShoppingMallBuilding,OK,web+onto+v105,,,,,,ShoppingMall,,,,,,,
418,,Skyscraper,Skyscraper,OK,web+onto+v105,,,,,,Skyscraper,,,,,,,
419,,Tower,Tower,OK,web,,,,,,Tower,,,,,,,
420,,Lighthouse,Lighthouse,UPDATED,web+onto+v105,,,,,,,Lighthouse,,,,,,
421,,WaterTower,WaterTower,OK,web+onto,,,,,,,WaterTower,,,,,,
422,,Venue,PublicPlace,OK,web+onto,not great match,,,,,Venue,,,,,,,
423,,Theatre,Theater_PhysicalStructure,OK,web+onto,,,,,,,Theatre,,,,,,
424,,Dam,Dam,OK,web,,,,,Dam,,,,,,,,
425,,Garden,Garden,OK,web,,,,,Garden,,,,,,,,
426,,Infrastructure,InfrastructureProduct,OK,web+onto+v105,,,,,Infrastructure,,,,,,,,
427,,Airport,Airport_Physical,OK,web+onto+v105,,,,,,Airport,,,,,,,
428,,LaunchPad,TransportFacility,OK,web+onto+v105,,,,,,LaunchPad,,,,,,,
429,,Lock,Lock,OK,web,,,,,,Lock,,,,,,,
430,,PowerStation,PowerGenerationComplex,OK,web+onto,,,,,,PowerStation,,,,,,,
431,,NuclearPowerStation,PowerGenerationComplex_Nuclear,OK,web,,,,,,,NuclearPowerStation,,,,,,
432,,RouteOfTransportation,TravelRoute,OK,web+onto,,,,,,RouteOfTransportation,,,,,,,
433,,Bridge,Bridge,OK,web+onto+v105,,,,,,,Bridge,,,,,,
434,,PublicTransitSystem,MassTransitSystem,OK,web+onto,,,,,,,PublicTransitSystem,,,,,,
435,,RailwayLine,Railway,OK,web+onto,,,,,,,RailwayLine,,,,,,
436,,Road,Roadway,OK,web+onto+v105,,,,,,,Road,,,,,,
437,,RoadJunction,RoadwayJunction,OK,web+onto,,,,,,,RoadJunction,,,,,,
438,,Tunnel,Tunnel,OK,web+onto,,,,,,,Tunnel,,,,,,
439,,RailwayTunnel,Tunnel,NEED,web+onto,,,,,,,,RailwayTunnel,,,,,
440,,RoadTunnel,Tunnel,NEED,web+onto,,,,,,,,RoadTunnel,,,,,
441,,WaterwayTunnel,Tunnel,NEED,web+onto,,,,,,,,WaterwayTunnel,,,,,
442,,Station,Terminal_TransferPoint,OK,web+onto+v105,,,,,,Station,,,,,,,
443,,MetroStation,SubwayStation,UPDATED,web,,,,,,,MetroStation,,,,,,
444,,RailwayStation,RailwayStation,OK,web+onto,,,,,,,RailwayStation,,,,,,
445,,NoteworthyPartOfBuilding,PartOfBuilding,OK,web+onto,,,,,NoteworthyPartOfBuilding,,,,,,,,
446,,Park,Park,OK,web+onto+v105,,,,,Park,,,,,,,,
447,,Cemetery,Graveyard,OK,web,,,,Cemetery,,,,,,,,,
448,,Community,Community,OK,web+onto,,,,Community,,,,,,,,,
449,,CountrySeat,CountySeat,OK,web,,,,CountrySeat,,,,,,,,,
450,,HistoricPlace,HistoricalSite,UPDATED,web+onto+v105,,,,HistoricPlace,,,,,,,,,
451,,HotSpring,HotSpring,OK,web+onto,,,,HotSpring,,,,,,,,,
452,,Monument,Monument,OK,web+onto+v105,,,,Monument,,,,,,,,,
453,,GraveMonument,GraveMarker,OK,web,,,,,GraveMonument,,,,,,,,
454,,Memorial,MemorialMarker,OK,web+onto,,,,,Memorial,,,,,,,,
455,,NaturalPlace,NaturalThing,OK,web+onto,not really a proper subset in Cyc,,,NaturalPlace,,,,,,,,,
456,,Archipelago,Archipelago,OK,web,,,,,Archipelago,,,,,,,,
457,,BodyOfWater,BodyOfWater,OK,web+onto+v105,,,,,BodyOfWater,,,,,,,,
458,,Lake,Lake,OK,web+onto+v105,,,,,,Lake,,,,,,,
459,,Sea,Sea,OK,web+onto,,,,,,Sea,,,,,,,
460,,Stream,Stream,OK,web+onto+v105,,,,,,Stream,,,,,,,
461,,Canal,Canal,OK,web+onto+v105,,,,,,,Canal,,,,,,
462,,River,River,OK,web+onto+v105,,,,,,,River,,,,,,
463,,Cave,Cave,OK,web+onto+v105,,,,,Cave,,,,,,,,
464,,Crater,Crater,OK,web,,,,,Crater,,,,,,,,
465,,LunarCrater,Crater,OK,web+onto+v105,,,,,,LunarCrater,,,,,,,
466,,Glacier,Glacier,OK,web,,,,,Glacier,,,,,,,,
467,,Mountain,Mountain,OK,web+onto+v105,,,,,Mountain,,,,,,,,
468,,MountainPass,Pass_Geographical,OK,web+onto+v105,,,,,MountainPass,,,,,,,,
469,,MountainRange,MountainRange,OK,web+onto+v105,,,,,MountainRange,,,,,,,,
470,,Valley,Valley,OK,web+onto+v105,,,,,Valley,,,,,,,,
471,,Volcano,Volcano,OK,web+onto,,,,,Volcano,,,,,,,,
472,,PopulatedPlace,PopulatedPlace,OK,web+onto+v105,,,,PopulatedPlace,,,,,,,,,
473,X,Agglomeration,HumanResidenceArea,OK,web,not sure what is meant here,,,,Agglomeration,,,,,,,,
474,,Continent,Continent,OK,web+onto+v105,,,,,Continent,,,,,,,,
475,,Country,Country,OK,web+onto+v105,,,,,Country,,,,,,,,
476,,Department,Department,OK,web+onto,many meanings here; probably should not be PopulatedPlace,,,,Department,,,,,,,,
477,,OverseasDepartment,ForeignOffice,OK,web+onto,"many meanings here; probably should not be PopulatedPlace, perhaps Colony",,,,,OverseasDepartment,,,,,,,
478,,Intercommunality,ExurbanNeighborhood,OK,web+onto,not sure what is meant here,,,,Intercommunality,,,,,,,,
479,,Island,Island,OK,web+onto+v105,,,,,Island,,,,,,,,
480,,Atoll,Atoll,OK,web+onto,,,,,,Atoll,,,,,,,
481,,Locality,PopulatedLocally,OK,web+onto,,,,,Locality,,,,,,,,
482,,Prefecture,Prefecture,OK,web+onto,,,,,Prefecture,,,,,,,,
483,,Region,GeopoliticalEntity,OK,web+onto,,,,,Region,,,,,,,,
484,,AdministrativeRegion,AdministrativeDistrict,UPDATED,web+onto+v105,,,,,,AdministrativeRegion,,,,,,,
485,X,ClericalAdministrativeRegion,AdministrativeDistrict,NEED,web+onto,,,,,,,ClericalAdministrativeRegion,,,,,,
486,X,Deanery,AdministrativeDistrict,NEED,web+onto,,,,,,,,Deanery,,,,,
487,,Diocese,Diocese,OK,web+onto,,,,,,,,Diocese,,,,,
488,,Parish,Parish,OK,web+onto,,,,,,,,Parish,,,,,
489,,GovernmentalAdministrativeRegion,AdministrativeDistrict,OK,web+onto,,,,,,,GovernmentalAdministrativeRegion,,,,,,
490,,District,District_State_Geopolitical,OPENCYC,web+onto,,,,,,,,District,,,,,
491,,DistrictWaterBoard,PublicWaterSystem,NEED,web+onto,,,,,,,,DistrictWaterBoard,,,,,
492,,MicroRegion,???,???,web,don't know what this is,,,,,,,MicroRegion,,,,,
493,,Municipality,Municipality,UPDATED,web+onto+v105,,,,,,,,Municipality,,,,,
494,,FormerMunicipality,Municipality,OK,web,,,,,,,,,FormerMunicipality,,,,
495,,Province,State_Geopolitical,OK,web+onto,,,,,,,,Province,,,,,
496,,Regency,Regent,OK,web+onto,misplaced in this section; Regency is time-dependent,,,,,,,Regency,,,,,
497,,SubMunicipality,PopulatedPlacePart,OK,web+onto,,,,,,,,SubMunicipality,,,,,
498,,NaturalRegion,OutdoorLocation,OK,web+onto,,,,,,NaturalRegion,,,,,,,
499,,Settlement,Village,OK,web+onto+v105,,,,,Settlement,,,,,,,,
500,,City,City,OK,web+onto+v105,,,,,,City,,,,,,,
501,,CityDistrict,Neighborhood,NEED,web+onto,,,,,,CityDistrict,,,,,,,
502,,FrenchLocality,PopulatedLocality,OK,onto,,,,,,FrenchLocality,,,,,,,
503,,IranSettlement,Village,OK,onto,,,,,,IranSettlement,,,,,,,
504,,Town,Town,OK,web+onto+v105,,,,,,Town,,,,,,,
505,,Village,Village,OK,web+onto+v105,,,,,,Village,,,,,,,
506,,Territory,Territory,OK,onto,,,,,Territory,,,,,,,,
507,,OldTerritory,Territory,NEED,onto,,,,,,OldTerritory,,,,,,,
508,,State,State_Geopolitical,OK,web+onto,,,,,State,,,,,,,,
509,,Street,Street_Generic,OK,web,,,,,Street,,,,,,,,
510,X,ProtectedArea,WildlifeReserve,UPDATED,web+onto+v105,not sure what is meant here,,,ProtectedArea,,,,,,,,,
511,,SiteOfSpecialScientificInterest,UNESCOWorldHeritageSite,OPENCYC,web+onto+v105,,,,SiteOfSpecialScientificInterest,,,,,,,,,
512,,SkiArea,SkiArea,OK,web+onto+v105,,,,SkiArea,,,,,,,,,
513,,SkiResort,SkiResort_Attraction,OK,web+onto,,,,SkiResort,,,,,,,,,
514,X,SportFacility,SportsPlayingArea,OK,web+onto,,,,SportFacility,,,,,,,,,
515,,CricketGround,CricketField,OK,web,,,,,CricketGround,,,,,,,,
516,,GolfCourse,GolfCourse,OK,web,,,,,GolfCourse,,,,,,,,
517,,RaceTrack,RaceTrack,OK,web+onto,,,,,RaceTrack,,,,,,,,
518,,Racecourse,CarRaceTrack,OK,web+onto,,,,,,Racecourse,,,,,,,
519,,Stadium,Stadium,OK,web+onto+v105,,,,,Stadium,,,,,,,,
520,,WineRegion,ViticulturalDomain,OK,web+onto+v105,,,,WineRegion,,,,,,,,,
521,,WorldHeritageSite,UNESCOWorldHeritageSite,OPENCYC,web+onto+v105,,,,WorldHeritageSite,,,,,,,,,
522,,Polyhedron,Polyhedron,OK,web+onto,,,Polyhedron,,,,,,,,,,
523,,Population,Population,OK,web,,,Population,,,,,,,,,,
524,,PublicService,???,???,web+onto,"not sure match, nor how to model",,PublicService,,,,,,,,,,
525,,PublicServiceInput,???,???,web+onto,"not sure match, nor how to model",,,PublicServiceInput,,,,,,,,,
526,,PublicServiceOutput,???,???,web+onto,"not sure match, nor how to model",,,PublicServiceOutput,,,,,,,,,
527,,Sales,SalesActivity,UPDATED,web+onto+v105,,,Sales,,,,,,,,,,
528,,SnookerWorldRanking,???,NOT MAPPED,web+onto,check on rating standings for individuals,,SnookerWorldRanking,,,,,,,,,,
529,,Species,BiologicalSpecies,UPDATED,web+onto+v105,,,Species,,,,,,,,,,
530,,Archaea,Archaea,UPDATED,web+onto+v105,,,,Archaea,,,,,,,,,
531,,Bacteria,Bacterium,OK,web+onto+v105,,,,Bacteria,,,,,,,,,
532,X,Eukaryote,EukaryoticOrganism,OK,web+onto+v105,,,,Eukaryote,,,,,,,,,
533,,Animal,Animal,OK,web+onto+v105,,,,,Animal,,,,,,,,
534,,Amphibian,Amphibian,OK,web+onto+v105,,,,,,Amphibian,,,,,,,
535,,Arachnid,Arachnid,OK,web+onto+v105,,,,,,Arachnid,,,,,,,
536,,Bird,Bird,OK,web+onto+v105,,,,,,Bird,,,,,,,
537,,Crustacean,Crustacean,OK,web+onto+v105,,,,,,Crustacean,,,,,,,
538,,Fish,Fish,OK,web+onto+v105,,,,,,Fish,,,,,,,
539,,Insect,Insect,OK,web+onto+v105,,,,,,Insect,,,,,,,
540,,Mammal,Mammal,OK,web+onto+v105,,,,,,Mammal,,,,,,,
541,,Dog,Dog,OK,web+onto,,,,,,,Dog,,,,,,
542,,RaceHorse,Racehorse,OK,web+onto,,,,,,,RaceHorse,,,,,,
543,,Mollusca,Mollusk,OK,web+onto+v105,,,,,,Mollusca,,,,,,,
544,,Reptile,Reptile,OK,web+onto+v105,,,,,,Reptile,,,,,,,
545,,Fungus,Fungus,OK,web+onto+v105,,,,,Fungus,,,,,,,,
546,,Plant,Plant,OK,web+onto+v105,,,,,Plant,,,,,,,,
547,,ClubMoss,LycophytinaSubdivision,OK,web+onto+v105,,,,,,ClubMoss,,,,,,,
548,,Conifer,Conifer,OK,web+onto+v105,,,,,,Conifer,,,,,,,
549,,CultivatedVariety,Cultivar,OK,web+onto,,,,,,CultivatedVariety,,,,,,,
550,,Cycad,Cycad,OK,web+onto+v105,,,,,,Cycad,,,,,,,
551,,Fern,Fern,OK,web+onto+v105,,,,,,Fern,,,,,,,
552,,FloweringPlant,FloweringPlant,OK,web+onto+v105,,,,,,FloweringPlant,,,,,,,
553,,Grape,GrapeVine,OK,web+onto+v105,,,,,,,Grape,,,,,,
554,,Ginkgo,Ginkgo,OK,web+onto+v105,,,,,,Ginkgo,,,,,,,
555,,Gnetophytes,GnetopsidaClass,OK,web+onto,,,,,,Gnetophytes,,,,,,,
556,,GreenAlga,GreenAlga,"UPDATED,OPENCYC",web+onto+v105,,,,,,GreenAlga,,,,,,,
557,,Moss,Moss,OK,web+onto+v105,,,,,,Moss,,,,,,,
558,,SportCompetitionResult,SportsCompetition,NEED,web+onto,not sure good to model,,SportCompetitionResult,,,,,,,,,,
559,,OlympicResult,OlympicCompetition,OK,web+onto+v105,,,,OlympicResult,,,,,,,,,
560,X,SportsSeason,SportSeason,OK,web,,,SportsSeason,,,,,,,,,,
561,X,MotorsportSeason,SportSeason,NEED,web+onto,,,,MotorsportSeason,,,,,,,,,
562,X,SportsTeamSeason,SportSeason,OK,web+onto,,,,SportsTeamSeason,,,,,,,,,
563,,BaseballSeason,BaseballSeason,OK,web,,,,,BaseballSeason,,,,,,,,
564,,FootballLeagueSeason,FootballSeason,OK,web+onto,,,,,FootballLeagueSeason,,,,,,,,
565,X,NationalFootballLeagueSeason,SportSeason,NEED,web+onto,,,,,,NationalFootballLeagueSeason,,,,,,,
566,X,NCAATeamSeason,SportSeason,NEED,web+onto,,,,,NCAATeamSeason,,,,,,,,
567,X,SoccerClubSeason,SportSeason,NEED,web+onto,,,,,SoccerClubSeason,,,,,,,,
568,X,SoccerLeagueSeason,SportSeason,NEED,web+onto,,,,,SoccerLeagueSeason,,,,,,,,
569,,Statistic,Statistics,OK,web,,,Statistic,,,,,,,,,,
570,,Swarm,???,???,web+onto,"not sure what it is, how to model",,Swarm,,,,,,,,,,
571,,Globularswarm,???,???,web+onto,"not sure what it is, how to model",,,Globularswarm,,,,,,,,,
572,,Openswarm,???,???,web+onto,"not sure what it is, how to model",,,Openswarm,,,,,,,,,
573,,Tax,Tax_COC,OK,web+onto,,,Tax,,,,,,,,,,
574,,TimePeriod,TimeInterval,OK,web+onto,,,TimePeriod,,,,,,,,,,
575,,GeologicalPeriod,GeologicalTimePeriod,OK,web+onto,,,,GeologicalPeriod,,,,,,,,,
576,,HistoricalPeriod,HistoricalPeriod,OK,web+onto,,,,HistoricalPeriod,,,,,,,,,
577,X,PeriodOfArtisticStyle,HistoricalPeriod,NEED,web+onto,"not sure what it is, how to model",,,PeriodOfArtisticStyle,,,,,,,,,
578,X,PrehistoricalPeriod,Prehistoric,OK,web+onto,"not sure what it is, how to model",,,PrehistoricalPeriod,,,,,,,,,
579,X,ProtohistoricalPeriod,HistoricalPeriod,NEED,web+onto,"not sure what it is, how to model",,,ProtohistoricalPeriod,,,,,,,,,
580,,Year,CalendarYear,OK,web+onto,,,,Year,,,,,,,,,
581,X,YearInSpaceflight,SpaceMission,???,web+onto,really a predicate,,,YearInSpaceflight,,,,,,,,,
582,,TopicalConcept,TopicsCategories,OK,web+onto,,,TopicalConcept,,,,,,,,,,
583,,ChristianDoctrine,Christianity,OK,web+onto,,,,ChristianDoctrine,,,,,,,,,
584,,Fashion,FashionableStyle,OK,web+onto,,,,Fashion,,,,,,,,,
585,X,Genre,FacetingCollectionType,NEEDED,web+onto,a broad type for Genre instances makes sense,,,Genre,,,,,,,,,
586,,MovieGenre,MovieTypeByGenre,OK,web+onto,,,,,MovieGenre,,,,,,,,
587,X,MusicGenre,MusicalCompositionTypeByGenre,OPENCYC,web+onto+v105,,,,,MusicGenre,,,,,,,,
588,,Ideology,PoliticalBeliefSystem,OK,web+onto,,,,Ideology,,,,,,,,,
589,,SystemOfLaw,LegalCode,OK,web+onto,,,,SystemOfLaw,,,,,,,,,
590,,Taxon,BiologicalTaxon,OK,web,,,,Taxon,,,,,,,,,
591,,Type,Collection,OK,web,,,,Type,,,,,,,,,
592,,DocumentType,Document_CW,OK,web,,,,,DocumentType,,,,,,,,
593,X,GovernmentType,GeopoliticalEntityBySystemOfGovernment,OPENCYC,web+onto+v105,,,,,GovernmentType,,,,,,,,
594,,UnitOfWork,WorkQuantity,OPENCYC,web+onto,,,UnitOfWork,,,,,,,,,,
595,X,Case,CourtCase,OK,web+onto,,,,Case,,,,,,,,,
596,,LegalCase,CourtCase,OK,web+onto,,,,,LegalCase,,,,,,,,
597,,SupremeCourtOfTheUnitedStatesCase,CourtCase_Appellate,"NEED,OPENCYC",web+onto+v105,,,,,,SupremeCourtOfTheUnitedStatesCase,,,,,,,
598,,Project,Project,OK,web+onto,,,,Project,,,,,,,,,
