CourtCase:Mx4rhvQ6SIDLQdeVyO222GNvJQ,WorkQuantity:Mx4rnxbxgLq-EdqAAACQJw5drg,4958,DISJOINT,Mississippi_University_for_Women_v._Hogan,Feiner_v._New_York,United_States_v._Trans-Missouri_Freight_Association,United_States_v._Locke,Williams_v._Mississippi,Hudson_v._McMillian,Arkansas_Department_of_Human_Services_v._Ahlborn,United_States_v._Knotts,Michigan_v._Jackson,Seling_v._Young,Ashcroft_v._al-Kidd
SportsEvent:Mx4rvVjzBJwpEbGdrcN5Y29ycA,TennisTournament:Mx4rv0ThwJwpEbGdrcN5Y29ycA,3864,DISJOINT,2013_Grand_Prix_Hassan_II,2012_Kurume_Best_Amenity_International_Women's_Tennis,2011_Volkswagen_Challenger,2011_Zagreb_Ladies_Open,2009_Schickedanz_Open,1939_Wimbledon_Championships,1987_Nabisco_Masters,2005_Dutch_Open_(tennis),1996_US_Open_(tennis),2001_estyle.com_Classic,2005_French_Open
Anime:Mx4rwUcs75wpEbGdrcN5Y29ycA,Cartoon:Mx4rv3sEL5wpEbGdrcN5Y29ycA,3797,DISJOINT,Zetsuai_1989__ova__1,Yu-Gi-Oh!_Zexal__TV_series__2,Tactical_Roar,Cat's_Eye_(manga)__tv_series__1,Tomehane!_Suzuri_Kōkō_Shodōbu__drama__1,Amnesia_(visual_novel),Shōnen_Ninja_Kaze_no_Fujimaru,The_King_of_Fighters:_Another_Day,Mazinger_Z__tv_series__1,One_Piece__ova__2,Wandering_Son__tv_series__1
Agent-Generic:Mx4rvsaaeJwpEbGdrcN5Y29ycA,AristocratTypeByTitle:Mx4rVmCKvtmJQdeMp5jGuFvrWg,3666,DISJOINT,"Manuel,_Lord_of_Villena",Ada_de_Warenne,"Cecily_Bonville,_7th_Baroness_Harington","John_VI,_Duke_of_Mecklenburg","Herman_I,_Count_Palatine_of_Lotharingia",Maurice_VI_de_Craon,Bolesław_the_Pious,"Charles_Thomas,_Prince_of_Löwenstein-Wertheim-Rosenberg",Janusz_Ostrogski,"Thomas_Holland,_1st_Earl_of_Kent","John_IV,_Duke_of_Brabant"
AristocratTypeByTitle:Mx4rVmCKvtmJQdeMp5jGuFvrWg,Person:Mx4rvViAkpwpEbGdrcN5Y29ycA,3666,DISJOINT,Tomasz_Józef_Zamoyski,Tomasz_Franciszek_Zamoyski,Charlotte_of_Albret,Adam_Zamoyski,"Philip_III,_Count_of_Nassau-Weilburg",Frederick_of_Altmark,"Gundakar,_Prince_of_Liechtenstein",Bianca_Maria_Visconti,"Frederick_IV,_Duke_of_Holstein-Gottorp",Krzysztof_Korwin_Gosiewski,Gerloc
OlympicGames:Mx4rvVkA9pwpEbGdrcN5Y29ycA,SportsEvent:Mx4rvVjzBJwpEbGdrcN5Y29ycA,3126,DISJOINT,Rowing_at_the_1908_Summer_Olympics_–_Men's_eight,Swimming_at_the_2008_Summer_Olympics_–_Women's_400_metre_individual_medley,Speed_skating_at_the_2006_Winter_Olympics_–_Men's_team_pursuit,Gymnastics_at_the_1976_Summer_Olympics_–_Men's_parallel_bars,Fencing_at_the_2012_Summer_Olympics_–_Women's_team_épée,Athletics_at_the_1932_Summer_Olympics_–_Men's_400_metres,Athletics_at_the_1972_Summer_Olympics_–_Women's_javelin_throw,Athletics_at_the_1948_Summer_Olympics_–_Women's_100_metres,Gymnastics_at_the_2008_Summer_Olympics_–_Men's_trampoline,Swimming_at_the_1904_Summer_Olympics_–_Men's_100_yard_backstroke,Athletics_at_the_1932_Summer_Olympics_–_Men's_200_metres
Arachnid:Mx4rvVifK5wpEbGdrcN5Y29ycA,BiologicalSpecies:Mx4rvVjK65wpEbGdrcN5Y29ycA,3109,DISJOINT,Charippus,Adoxotoma,Trombidium_semilunare,Prostigmata,Ilargus,Larvamima,Colpothylax,Stammernenteria,Paradictyna,Gamasiphis,Taiwanoparasitus
BiologicalSpecies:Mx4rvVjK65wpEbGdrcN5Y29ycA,Racehorse:Mx4rdDJ92McaEdmAAAACs6hRjg,2988,DISJOINT,Encke_(horse),Windsor_Lad,Heart's_Cry_(horse),Tammany_(horse),Sassafras_(horse),Achilles_of_Troy,Red_Handed,Cannonade,Roi_Dagobert,Prince_Blessed,Relaxed_Gesture
BiologicalSpecies:Mx4rvVjK65wpEbGdrcN5Y29ycA,FloweringPlant:Mx4rvVjHa5wpEbGdrcN5Y29ycA,2596,DISJOINT,Arnsburger,Thalictrum_cooleyi,List_of_Albizia_species,Dalea_reverchonii,Osbeckia_chinensis,Meriania_pastazana,Blakea_acostae,Miconia_asplundii,Aconitum_columbianum,Geranium_pusillum,Miconia_tomentosa
CourtCase-Appellate:Mx4rlgJe1PeLEdyAAAACs6hbjw,WorkQuantity:Mx4rnxbxgLq-EdqAAACQJw5drg,2479,DISJOINT,"Nashville,_C._&_St._L._R._Co._v._United_States",Johnson_v._United_States_(2000),"Riegel_v._Medtronic,_Inc.",Charles_River_Bridge_v._Warren_Bridge,Parker_v._Ellis,Knowles_v._Iowa,Thornley_v._United_States,Ashcroft_v._American_Civil_Liberties_Union,Inter-Island_Steam_Nav._Co._v._Ward,Morris_v._United_States,Graham_v._Florida
